"title","review","rating","date"
"So amazing","This is one of the best book to screen adaptions i have ever seen. It is up there with the hunger games. You can tell that the author of the books was very much involved in the entire process of making this show, from the amazing casting, to the script that genuinely mirrors the books, and the amazing overall production of the show including the soundtrack. Walker scobell is the best kid to play percy jackson, he so seamlessly makes the character his own while still staying true to the books. As someone who read the books and was severely disappointed in the movies i take joy in the fact that i can watch this and be fulfilled. Thank you rick for righting this wrong.","10","29 December 2023"
"BEST ADAPTATION EVER","I've been reading and rereading these books for over a decade and I've always thought an adaptation would never be able to match up to the perfect story I had created in my head (especially after the burning trainwreck that was the movies) but THIS DID IT. I won't spoil anything but all of the main actors COMPLETELY embody their characters and they all add little things that add up to make the characterization that much more in-depth. Every change they've made has completely suited the story and it's just been absolutely perfect. If this is the only review you see, I urge you: GO WATCH IT!!!!!","10","29 December 2023"
"On Par With the Movies...Which Isn't Good","I've read the books five times since middle school and was genuinely excited to get a TV adaptation during my third year of college. However, this adaptation is not it!  From the start, we are expositioned to the extreme! Many characters, Luke especially, have no purpose but to explain every little thing to the audience and the pacing is incredibly rushed. Instead of the director and producers taking advantage of the extra time a TV show has to allow the audience to digest and process what they see, they have every weird thing explained away as soon as it happens and the viewer does not need to think at all. Even if he wanted to, he has no time as the show moves on to the next scene and something else happens and is promptly explained away, and on and on we go.  The acting is also incredibly wooden. Only Dior Goodjohn and Aryan Simhardi seem to be trying - not most successfully - but at least I see a semblance of Book-Clarisse and Book-Grover in them. Both Walker Scobell and Leah Jeffries' deliveries are unconvincing and lack charm, looking like they're reading out of the script and given no freedom or room to show their acting capabilities and ranges. Glynn Turman and Jason Mantzoukas are okay, but Jason's Dionysus could also use some of the flare, eccentricity, and nonchalance his book counterpart is known for.  Most of the changes from book to screen do not make much sense either. The characters' physical appearance is only the outer layer but they do make me wonder if this show even has a hair and makeup department; surely wigs or hair dyes or hair extensions could have brought the actors closer to their book counterparts like they have for most book-adapted TV shows and movies, like Harry Potter or House of the Dragon. Even a little thing like Luke's scar is barely noticeable, and in the wrong spot at that, and Clarisse, who is supposed to be big and tough and uncaring about her appearance, and Annabeth, who does not care much about hairstyles in the books, both come off like preppy dolls, caring more about their looks than their comfortableness during training or Capture the Flag.  The characters' personalities are as transformed as their appearances and some do not make much sense. Sally, acting submissive to protect Percy in the first book, is a spitfire and resembles Book-Percy more than Walker's Percy does. Gabe's awfulness and despicable character are also absent for some reason and he looks like a regular middle-aged loser rather than the drunk abuser that marked Percy's childhood in the books. Percy also comes off as whiny, only caring about impressing his dad - a far cry from the charismatic and relatable character most of us love from the books. Walker's Percy does have his moments, I'll give him that, but most of his jokes fall flat and his charm, as mentioned, is not there. Some of his digs at Annabeth in Episode 3 are also uncalled for and come out of nowhere, but so does Annabeth's attitude towards Percy. The two are antagonistic towards each other for no reason - though Percy being confused about stuff and Annabeth not explaining things to him does come directly from the books.  While I do think that a perfect copy-paste book-to-screen adaptation would be boring, I am at a loss to understand why so many changes were necessary. From the first minutes of the first episode, some key moments have been omitted for seemingly no reason. The fight with Ms. Dodds - except for the fact that it happens in full view of passers-by in New York instead of inside the museum - ended in two seconds and is unworthy of even being called a fight. Same for the ""fight"" with the Furies in the bus in Episode 3 - sorry: one Fury and it barely lasted two seconds before they high-tailed it out of there. The skirmish with the Minotaur was a bit better but it still went very fast; if those are the fight scenes we are to expect from this adaptation, prepare yourselves to be sorely disappointed! Clarisse accusing Percy of ""being a fraud"" also doesn't make sense, and neither do Dionysus and Chiron concealing the fact that Percy's mother is in the Underworld and not dead instead of telling him to motivate him to accept the quest. The Fates have yet to appear as well, Riptide (yet to be named in the show surprisingly, I thought the sword's name would have come up somewhere in the middle of all the exposition) seems to shake whenever it anticipates danger like it suddenly acquired a conscience and the meeting with Medusa is completely underwhelming.  The CGI is a bit touch-and-go as well, mostly okay, and the soundtrack could use some improvement, as could the scene changes and the weird camera positions.  All and all, I'm very disappointed that after all the hype this is what we got. I will watch the season till the end to see if things improve, but if the first three episodes are any indication, then this has been an absolute failure of an adaptation!","1","28 December 2023"
"Cautiously Optimistic","Let me start by saying the show is still significantly better than the movies. The CGI is phenomenal for a television show and the way they brought Camp Half-Blood and the Minotaur to life was just awesome. They have somewhat followed the book which is also fairly nice.  That being said, the way they portrayed the Poseidon Cabin is just sad. There also is no suspense in any of the action scenes. Mrs. Dodds is here and gone so quickly that one can't even get invested. The capture the flag scene is also rapidly done that I don't feel any awe when the audience finally sees who Percy's parentage is.  What's worse is the changes they made to the story that make no sense whatsoever. Like Percy somehow whipping out intense combat moves against Clarisse before even being exposed to water and the fact that Gabe is not even that atrocious of a guy, just a bum.  The acting is medium at best, with some characters being well portrayed, like Mr. D, Grover, Chiron, and Luke; while other characters are one dimensional and boring, like Percy and Annabeth. The latter of whom has zero personality whatsoever.  I'm cautiously optimistic heading into the rest of the season that the pacing will even out and we'll start to get better writing with the suspense and more of the book personality from the two leads. Otherwise, I'll have to chalk up another adaptation of this awesome book series as a failure. The fact Disney is the one behind it does not give me much hope.","6","24 December 2023"
"Usual Disney Content v Quality","I like young mr Scobell, he has done well pitched in with movie megastars,playing almost like an understudy, with more cutting wit than others of his age group, but this rendition of Percy, although Rick Riordan author and writer of the script which is bland with nothing new to give from past versions,as it is episodic it drags ,no amount of special effects will save it from from obscurity.  This recipe is probably bread without the fillings and not a culinary delight,I think Disney with its present management should be barred from acquiring any further classics for reboots, the next generation should revolt by ignoring the product.","5","31 December 2023"
"Missed the mark...again.","Let me start off by saying the CGI and set are well done and I appreciate the diversity and acting of the cast - which makes the poor execution of the storyline and the dullness of the script all the more disappointing.  For some reason, the source material has been paired down to a fault in an effort to make the show suitable for audiences much younger than the YA books are intended for. Kids as young as 6 and 7 can't / shouldn't read the books, but they could definitely watch the show without issue. Every remotely ""gritty"" comment, theme, or scene from the books has been entirely erased, and it had detrimental effects on the storyline and characters.  Take Percy for example: by glossing over his internal struggles and making Gabe comedic relief rather than an antagonist, Percy's character is rendered completely devoid of personality. Where is his attitude, wit, and defiance? That was everything that made his character relatable to the YA audience! In the books, Riordan's monster-fighting scenes always put readers on the edge of their seats - in the show, these scenes are exceptionally lacking.  I feel bad for the kid actors because they're doing great with what they're given; it's the material that's inadequate. Overall, I can't continue watching. It's just as disappointing as the 2010 movie. Come on Riordan, get it right!","1","29 December 2023"
"I couldn't be happier","After so many attempts at a live action book adaptation let me down, i'm finally seeing one that exceeds every expectation. I didn't expect the show to be this good, but its starting out brilliantly! Watching the first episode immediately brought me back in time to when I first started reading the series as a kid. I feel like this will be the show that sets a new standard for live action remakes moving forward. This feels like reading a story with brilliant lighting and a well crafted playlist. Don't even get me started on the cast and how they somehow managed to recruit the most believable and talented young actors around. I genuinely couldn't be happier with this show and I had to leave a whole review just to let everyone know that lol.","10","20 December 2023"
"The Olympians' Most Disappointing Odyssey","This series, like most recent Disney reboots, is unsurprisingly disappointing. There are multiple things which I dislike about it:  1. The script feels unrealistic and artificial: unlike the books, and even the movies, you feel constantly disconnected from the plot. Every single conversation feels forced and inorganic. It's like they threw the script together in a rush, resulting in cringeworthy dialogue and performances that made it impossible to become immersed in the storyline.  2. Percy is neither charming nor funny. He is snarky, rude, unlikeable, and his personality is extremely different from the books. The same applies to Annabeth: they are both immensely more uncharismatic than in the books or movies. The actors and scriptwriters alike have managed to produce bland, unappealing versions of the characters, which makes them impossible to relate to or root for. Overall, both the acting and the casting are TERRIBLE (with the possible exception of Grover, but his lines don't do him any favors).  3. The series somehow manages to be too slow -in terms of the events occurring at any given time- and too rushed- whenever major things happen, everyone seems to get over them within seconds. Overall, every episode feels rushed, and yet, at the end of each of them, it feels like nothing substantial happened.  4. The action scenes, characterization of certain archetypes, and dialogue all feel childish. I understand that Percy Jackson is a children's book, but the series somehow dumbs it down even further to the point of absurdity.  5. The CGI and directing are pretty bad. The directing/editing is especially amateur-ish: how can a multi-billion dollar company allow for so many scene transitions to rely on fading black screens? Also, camera angle choices are often weird and overall bad calls... As for the CGI, its quality varies between 'decent' and 'horrible', depending on the scene.  What I liked about the series: 1. The soundtrack is pretty decent (with some exceptions). I don't like that they included more recent (TikTok) songs, such as Olivia Rodrigo's singles, since it feels inauthentic and disconnected to the books. Again, I think this was a conscious choice from Disney to appeal to younger generations, but, in doing so, it manages to alienate most of Percy Jackson's original fans.  2. I grew up reading the PJ saga, which was extremely influential to me as a child. Seeing it materialize to TV (irrespective of how mediocre the end product) is refreshing. I always felt like PJ was treated as being second to Harry Potter, and it's good to see more (deserved) attention being brought to it. Furthermore, it was nice to find out that Rick Riordan actually participated in the making of the series.  Conclusion: If you are under 15, or a Disney adult, you're in for a treat. If you're an original fan of the books or movies, I advise you to give it a chance, but under the understanding that you'll most likely dislike it, as I myself did.","2","30 December 2023"
"Trying something different, but overall pointless","I understand needing to make changes in an adaptation, it's an adaptation. But if you make changes they have to be changes that make sense. Try to portray Medusa as a victim of the gods? Sure! But then we have to turn around and kill her anyways, so it was pointless. For some reason no one believes Percy killed the minotaur. Okay, sure I guess that can be a nice little side plotline... OR we can introduce this plotline and take it absolutely nowhere. Or we keep making references to Thalia, which let's be clear, it's pronounced Talia, and not THalia. But we have already randomly brought up Thalia almost 500 times, when she has nothing to do with the first book. It's just a whole lot of them explaining things, and explaining things, and not just showing us things. We randomly introduce conflict between the characters where there was basically no need for it just to pad the runtime. Let's have the Fury try to make a deal with Annabeth. Did it matter? No. Did we do it anyways? You bet. We just keep making spontaneous changes that don't seem to matter at all, so if they're changes that don't matter, and don't add anything to the story, why are we still doing it? Like Percy getting claimed was essentially reduced to a joke in comparison to how it was revealed in the books. Or Percy deciding to hide part of the prophecy from his two friends, and then immediately telling them anyways, 20 minutes later. Or Grover, randomly deciding to sing a song. Was it important? No. Did it add anything besides a bit of cringe? You bet. At a certain point they're just doing things for the sake of doing it. Again, I understand trying to make your own changes to something for your adaptation. But just none of it makes sense. The entire Medusa episode basically just felt like 45 minutes of essentially nothing. Like I thought it was super necessary watching the main characters arguing over what snacks they want from the gas station. Or watching Annabeth debate what flavor of candy to buy at said gas station. All in all, it just feels like we are padding the runtime with things that just don't matter overall.","3","27 December 2023"
"IT'S AMAZING, OBSESSED","Amazing, exceeded all expectations and more. Love the casting, cgi, everything. Hoping for season 2🙏🏽 The first episode started off with some great visuals, hilarious jokes and so many well written characters. Even some foreshadowing. There was on fight scene which was amazingly done and the acting from the kids were really great.  Episode two started off with the iconic, ""you drool while you sleep"" line. And the jokes just got better. Dionysus was really well done and so book accurate. Luke seemed really nice and it seems like him and Percy will have a great friendship😉 Annabeths dialogue, and her fixing his armor was so adorable. The capture the flag scene was so good. The fighting didn't look comically fake at all, very believable and the actors are so talented. CLARISSE'S SCREAM!!! AMAZING.  The third episode was filled with Percabeth banter and arguing. Some backstory and the story was a bit different than the books but still made sense and was well executed. Once gain, THE KID ACTORS. Sooo gooddd. They had an emotional scene and it wasn't cringe or fake at all. Literally obsessed with the show.  If you aren't sold on the casting, I recommend you watching the watch party of them on YouTube. Their chemistry is so fun and adorable. Begging for all five seasons!!!","10","27 December 2023"
"So far so good upto episode 3","So far the TV show is quite enjoyable im only upto episode 3 but am enjoying it. It has missed a few semi important plot points that are relevant later in the story line or make the initial story more interesting if they the series going that far. Like the snipping of the yarn at the bus stop and just how bad Gabe (Percy's Stepfather) really is both in smell and as a person, but so far the storyline is holding up well to the books much better than the films did anyway. The characters dont match how they are portrayed in the books but they have chosen their actors well even if they're not what you originally expect.","7","27 December 2023"
"iconic stunning legendary","I couldn't have hoped for a better first two episodes !! I kept gasping as i watched as if i didn't already know the story. The casting is perfect, the little details from the book like mr D's diet coke are so fun, literally everything is so good. The few aspects that are different from the book don't take away from the story at all and even make it better. The characterization, emotion, and vibes are immaculate. Idk man i need more characters for this review to be long enough but im sleepy rn and i can't think of more ways to say this show is so good. Counting down the days till the rest of the season comes out ! (please let all 5 books be adapted PLEASE I BEG)","10","24 December 2023"
"This show makes me so happy","I will never stop talking about this show, I swear. The casting is incredible and the actors do an amazing job of implementing little things that become important later on (fatal flaws, percabeth, etc). The plot stays very true to the books, but also adds on to the storyline by making it more current and able to be watched by kids today. There are clever methods used to depict mature-ish themes, so that you can understand what's happening, but to make it understandable for younger viewers. Overall, the show is a very faithful adaptation, and will be beloved by so many fans for many years to come.","10","29 December 2023"
"First three episodes watched","I'm enjoying it so far as only watched the first three episodes. Looking forward to the rest of them :) Big fan of the books and if Uncle Rick approves then so do I.  The only thing I'm annoyed at is the night bits are really dark and can't see anything going on. Also some of the changes they've made from the original material are interesting but don't change the actual story so not as bad as one would think.  Looking forward to watching the characters/ actors grow up during the next few episodes and hopefully the whole book series.  Crossing my fingers they will also do the other series in the world of Percy Jackson :)","9","28 December 2023"
"Captured the soul of the book. Much better than the movies","It is all I have been waiting for for a decade. The actors are phenomenal and really portrays all emotions well. All small changes made are for the better!  The movies butchered all portrayals of the characters and there were no emotion. The storyline was nothing like the book, but this is a much more faithful adaptations that has the potential of forming a whole generation.  It also does a great job at showing that even if you are different you are worth the same as others and that those differences can be your strength. Camp Half-Blood is a place were all people who feel like an outsider belongs.","10","28 December 2023"
"Perfetum","They did the scene. Where he send medusas head to olympus which is one of my favourite thing he did in the book. I like annabeth so far and percy and i think both of them are talented actors. I just hope they have the same chemistry as they have in the book. The dynamic the have so far has a lot of potential.  The whole series sets itself up for sucess in the future if they keep it going the same eay they go now and i think thing will get better and better the more time it goes because the relatolnships will get mor flushes out.  The cinematography is really really good and the cgi is amazing compared to for example mcu.","","27 December 2023"
"You gotta watch this","2 episodes in and this series is both exactly what I imagine and not at all what I imagined having been a huge fan of the books since I was in the target audience (6th grade) The casting and acting is phenomenal and I already would hurt anyone who gets close to my babies! The visuals and cinematography are beautiful and the script is concise and fun and believable. My only complaint would be the pacing which to me feels a little off, but that does allow me to notice something new every time I rewatch it! This can be a new fun watch for the whole family or something us die hard fans can binge and rave about! It adds new stuff that really enhances the story while at the same time being completely true to the books. I am 100% confident they will make it through the first 5 books/seasons and I CAN'T WAIT to see how it turns out!","10","21 December 2023"
"Finally Percy Jackson gets to see the big screen","For real though the 2 Percy Jackson movies are my least favorite movies of all time. Because of how badly they disrespected the source material.  But this show does it right, they got author of the book series Rick Riordan to be a part of making his series come to life on the big screen and I'm all here for it.  A lot of people are dunking on the show for their casting choices, but honestly Grover is the only character I wish was casted differently. He delivers his lines in an okay way but he's just not the Grover I pictured when reading the book  This show isn't perfect but every book to screen adaptation needs to cut a little content here and there so overall great time and also nice and family friendly weather or not you liked the books or the movies (I really hope you didn't) great show 8.8/10 I wish IMDb would let me give an 8.8 instead of just a 9 to be honest.","9","25 December 2023"
"Stop the whining!","I couldn't even get through the third episode. I was hoping once Percy got the quest he would stop all the whining and oh poor me mantra; it's exhausting and kind of infuriating to listen to; way worse than the movie (probably bcuz it's stretched out over so many episodes its like Percy stays in his pity pot). The writing is so poor for Percy and the young actor has no facial expressions throughout. Plus the issue Clarisse has with Percy was completely underdeveloped and seemed random unless you know the movie or books.... and a minotaur in chonies??? Was that supposed to be a joke, seemed wildly out of place.  For what we all pay Disney every year (tickets to movies, Disneyland, streaming app, clothing, kids toys and clothes etc!) and the following Percy Jackson has, we do expect better writing and acting. Sorry Disney 😞","1","29 December 2023"
"childhood dreams come true!","So fat, the show has been so close to the book it nearly brought me to tears. As a kid and as an adult i still absolutely adore the books, and theyre finally doing an accurate, well thought out and high quality adaptation. Tons of folks are complaining about the acting, but to me, theyre still kids- what do you expect? Theyre still getting into the groove! I think they're embodiment of the characters has been great so far, and true to each character. Walker showed us he could be snarky and sarcastic in the adam project, and he hasnt disappointed in his portrayal of percy ""persassy"" jackson. Annabeth is blunt, intelligent, and determined. Grover is nervous, but kind and true. Jason is killing mr. D's role, too.  Ive seen some complaints about the pacing as well, and although it is super fast paced, so is the book. Theres TONS of infodumping in the first 100 pages of the book, so it felt the same to me when translated to the screen; however i can understand those who never read the books when they feel it is too fast paced. To me, i think it worked well to mimic how lost, confused, and uncomfortable percy is supposed to feel! He knows just as much as the viewer does, which works well for world building. It puts you in his shoes. The cgi, makeup, sets, and camera work has been actually astonishing (which i didn't expect, although that might be silly because its the same folks behind marvel). As a die hard fan since 12 (21 now) I'm super excited to see the rest of the show! Ive been waiting for a faithful adaptation since i picked up the first book, and i havent been disappointed like with the movies.","10","24 December 2023"
"We are so back","I first read the books when I was 12 and that was nine years ago now. I have since reread the books countless times and they still are some of my favorite books. I despised the movies, not only because the change in plot or because they aged up the character but because it didn't capture the soul of the books. Percy was a kid struggling in school (even when he tried), not an angsty teen who couldn't care less.  People who complains that he is more mean and snarky forget two things: his mum is gone and he has always been like this. The only thing that has really changed is that he says those things out loud in the show (instead of it being inner monologue like in the books).  Annabeth is also a character that many complains about and I think they need to reread the books. Annabeth was calm and collected in the books. She was kinda short with words and a bit socially awkward (being neurodivergent and having grown up surrounded by kids older than yourself tends to do that). She is prideful (which is what we see in the episodes - her doing everything to win, her wanting to be the one in charge, her being ""rude"" to medusa. It's her pride, which is her fatal flaw). Annabeth in the movie was a damsel in distress and Annabeth in the show (or book) isn't.  There are changes in the story yes, but they are all very clever and I understand why they have been made. For example making Luke be the one to show Percy around the camp made them closer, which will make the ending of the season hurt more. But more important the show still manages to capture the soul of the books.","10","29 December 2023"
"Absolute garbage","If you're looking for a faithful screen adaptation of the Percy Jackson books, save yourself the trouble and don't watch this show. All of the casting decisions are awful. The writing feels even more childish than the books, which are designed to be enjoyed by 12-15 year olds. Percy and Annabeth are insufferable, and they even managed to make Sally Jackson unlikeable. If you've ever read the Maze Runner series, this ""adaptation"" (if you can even call it that) reminds me of what Hollywood did to the Scorch Trials. Vote with your wallet and quit financially supporting the garbage that Disney keeps pumping out. The Lightning Thief movie was nothing special but it's miles ahead of this series.","","30 December 2023"
"Disney's adaptation hits all the mark that makes it Percy Jackson","As a long time reader and fan of the books, this adaptation hits all the mark that makes it Percy Jackson. Seeing all the characters comes to life makes me happy and satisfied to know that this story will not only live on the pages but also now stay on our screens for the kids and all to watch and become a way for them to read the books and enjoy this timeless stories.  I love little details from that book brought to life on the series such as the mist, orange camp half blood shirt, blue food, the yankees cap and many more. Rick Riordan is my favorite author and this series makes me glad that I discovers Percy stories that inspires me in life to face my fears and be brave, to read more and to discover my love for adventure and being a hero for yourself and others.","10","23 December 2023"
"Loved it so far!!","I only watched the first three episodes, but I have to say: especially as a Big Fan of the Books, so far I'm really happy with everything! I love how the actors portray their characters and the way the story is so close to the Books. Of course it's Not the Same: and it's really Hard to portray Percys Character without his monologe that we read in the books. But I think they did a Great Job so far. The actor is a really good Percy in my opinion and I'm really excited for the next Episodes and all the new fans that discover the fandom now through the show. I really hope they won't cancel it and we will see the whole story!!!","10","29 December 2023"
"Loving it","As a lifelong superfan of the books what I've seen of the show so far is incredible. The casting is terrific and the chemistry of the main trio is off the charts. There are obviously going to be inconsistencies or changes from the book, but in my opinion that's just what happens when adapting the written word to a visual format. Any changes that have happened don't damage the core plot and still get the same message across. If you want a completely faithful version of the lightning thief read the books! This show is an adaptation and artistic liberties and changes are allowed to happen. I'm so excited for the rest of the season and hopefully it'll get renewed for season 2 soon!!","10","28 December 2023"
"great show with amazing writing","The characters like Annabeth, Percy and Grover have such amazing development already, with only three episodes in. The actors do a fantastic job of delving into the characters pysche and really feels like the characters are being ripped out of the books. IMO, the reviews giving it a low rating need to do an immediate reread of the books if they think the characters or the plot is in accurate in any way. Any changes made to the book for the show was done for better depth and smoother on screen interactions. I throughly enjoyed how they flesh out character dynamics and character flaws so early into the show and I'm excited to see what the rest of the show brings. I can't wait for a (hopefully) guaranteed season two of the show as well.","10","29 December 2023"
"Exciting","I've read the books and from the opening scene of the show it had felt like the books coming to life! The casting of Percy feels very spot on to Percy's personality in the books, even if he doesn't match the description, which is exciting thinking about what is still to come from our young hero! There are some liberties they have taken with the show that feel different but don't really change the plot which is bound to happen with an on screen adaptation of a book series. I am excited to see how these young actors portray these iconic characters from this beloved series. My biggest complaint is I wish the episodes were longer haha.","9","27 December 2023"
"Serious Promise if You've Read Them Recently","Although if you haven't read the books recently, the show also is very entertaining, well paced, and shot beautifully to the level of other high budget shows, such as HBO shows.  Any reviews saying Percy isn't as funny or the show is not faithful to the books already in the first two episodes, simply have a bias in their opinion from when they read the books long ago, and do not remember the intricacies and mental hardship of what Percy was going through at the beginning of the books. Percy is exactly as he was in the beginning of the books down to the sadness, anger, and humour, along with some added scenes to give more context to the entirety of his situation.  The other actors portray their characters beautifully with poise, grit, humour and an unbelievable amount of maturity from cast members ranging from 13-19. Annabeth is exactly as she needs to be right now, down to the wit, subtle confidence, and wisdom in her eyes. Grove is exactly as funny and anxious as he was portrayed in the books. Luke is brilliantly portrayed as what he needs to be for Percy.  I cannot stress enough how beautifully this show is shot, from the colour grading, to the movement during fights, to the special effects. Everything is on point for a show at this level. Not to mention everything about the camp is completely accurate.  Anyone who has already predetermined that they do not like this show because of ""the pacing"", or ""the effects"", or even ""the way the actors look"", from just the first two episodes - have simply shown how little they understand about not only the pacing of tv shows, visuals in film, and acting, but also the entirety of the books in general.  DO NOT MISS OUT ON THIS SHOW!","10","23 December 2023"
"Better than the movies","Faithful to the books as the author of the book series, Rick Riordan, as the creator and writer of this tv adaptation.  Like so many others who read the books as a young teen, the movies were so disappointing that lacked character development. And it's evident since the movies did not involve the original author, Rick Riordan, in the development of the movies.  I'm so glad this TV series is faithful. I'm looking forward to see where the series will go. Admittedly, the demographic for the original books at the time of the release have grown up, future generations would definitely love the books and the new tv series adaptation.","10","26 December 2023"
"Something good could come from this","It's a bit slow as others have said - however this is just like the beginning of the first book. I read the books after watching the film adaption, and was pained by how slow it was. However after finishing the books, the film felt very off. This series feels different. It's resemblance to the books is far stronger than the film, yet it still has its own personality. This series definitely has potential.  I think the episodes could be a little longer, with maybe a bit more happening in each.  I am very excited to see where the series goes, I like the little bits of comedy that have been thrown in, and the casting seems okay so far.","9","30 December 2023"
